﻿Ranking,Title,Rating,Director,Actors,Duration,Relaese Time,Type,Making Area,Cumulative_income(ten thousand unit),Movie Information
﻿30,活着,9.0,张艺谋,"葛优,巩俐,牛犇",132分钟,1994-05-17(法国),"['剧情', '家庭', '历史']","中国大陆,中国香港",,http://maoyan.com/films/1375
﻿31,被嫌弃的松子的一生,8.5,中岛哲也,"中谷美纪,永山瑛太,伊势谷友介",130分钟,2006-05-27(日本),"['剧情', '歌舞']",日本,,http://maoyan.com/films/20394
﻿32,龙猫,9.2,宫崎骏,"秦岚,糸井重里,岛本须美",86分钟,2018-12-14,"['动画', '冒险', '奇幻', '家庭']",日本,17370,http://maoyan.com/films/123
﻿33,死亡诗社,8.7,彼得·威尔,"罗宾·威廉姆斯,伊桑·霍克,柯特伍德·史密斯",128分钟,1989-06-02(加拿大),['剧情'],美国,,http://maoyan.com/films/1204
﻿34,泰坦尼克号,9.4,詹姆斯·卡梅隆,"莱昂纳多·迪卡普里奥,凯特·温丝莱特,比利·赞恩",194分钟,1998-04-03,"['剧情', '爱情', '灾难']",美国,130615,http://maoyan.com/films/267
﻿35,三块广告牌,8.6,马丁·麦克唐纳,"弗兰西斯·麦克多蒙德,伍迪·哈里森,山姆·洛克威尔",115分钟,2018-03-02,"['剧情', '犯罪']",美国,6499,http://maoyan.com/films/342754
﻿36,你的名字。,9.2,新海诚,"上白石萌音,佟心竹,神木隆之介",106分钟,2016-12-02,"['爱情', '动画', '奇幻']",日本,57571,http://maoyan.com/films/344881
﻿37,看不见的客人,9.4,奥里奥尔·保罗,"马里奥·卡萨斯,阿娜·瓦格纳,何塞·科罗纳多",106分钟,2017-09-15,"['犯罪', '悬疑', '惊悚']",西班牙,17258,http://maoyan.com/films/458721
﻿38,请以你的名字呼唤我,8.0,卢卡·瓜达尼诺,"提莫西·查拉梅,艾米·汉莫,迈克尔·斯图巴",132分钟,2017-01-22(美国),"['爱情', '剧情']","意大利,法国,巴西,美国,荷兰,德国",,http://maoyan.com/films/409801
﻿39,闻香识女人,8.8,马丁·布莱斯特,"阿尔·帕西诺,克里斯·奥唐纳,加布里埃尔·安瓦尔",157分钟,1992-12-23(美国),['剧情'],美国,,http://maoyan.com/films/6289
﻿40,三傻大闹宝莱坞,9.1,拉吉库马尔·希拉尼,"阿米尔·汗,黄渤,卡琳娜·卡普",171分钟,2011-12-08,"['剧情', '喜剧', '冒险']",印度,1396,http://maoyan.com/films/43
